x:0.006,y:0.317,z:-0.197
x:0.078,y:-0.384,z:0.014
x:-0.234,y:-0.021,z:0.161
x:-0.037,y:-0.095,z:-0.189
x:0.086,y:-0.372,z:0.032
x:-0.102,y:0.065,z:0.009
x:0.037,y:0.143,z:0.098
x:-0.318,y:0.024,z:0.130
x:0.040,y:-0.012,z:-0.117
x:0.014,y:-0.020,z:-0.086
x:-0.076,y:0.014,z:-0.200
x:0.094,y:-0.080,z:0.178
x:0.191,y:0.121,z:-0.012
x:0.071,y:-0.065,z:0.000
x:-0.179,y:-0.031,z:-0.040
x:0.001,y:-0.171,z:0.213
x:0.187,y:-0.161,z:0.129
x:-0.219,y:-0.183,z:0.188
x:0.187,y:-0.017,z:-0.290
x:-0.503,y:-0.194,z:0.331
x:-0.105,y:-0.126,z:-0.127
x:-0.257,y:0.093,z:0.180
x:0.112,y:0.324,z:0.199
x:-0.076,y:-0.114,z:0.362
x:-0.060,y:-0.045,z:0.023
x:-0.078,y:-0.141,z:0.163
x:-0.300,y:0.034,z:0.225
x:-0.103,y:0.141,z:-0.221
x:-0.289,y:-0.105,z:0.116
x:-0.106,y:0.189,z:-0.332
x:-0.287,y:0.325,z:-0.215
x:-0.231,y:-0.029,z:-0.593
x:-0.296,y:0.155,z:-0.171
x:-0.249,y:0.004,z:0.055
x:0.305,y:-0.136,z:0.204
x:-0.127,y:-0.249,z:-0.104
x:0.107,y:0.075,z:-0.045
x:-0.004,y:-0.259,z:0.122
x:0.290,y:0.266,z:-0.084
x:-0.214,y:-0.321,z:-0.162
x:-0.414,y:0.257,z:-0.182
x:0.329,y:-0.203,z:0.019
x:-0.267,y:-0.244,z:0.166
x:0.026,y:0.078,z:-0.013
x:-0.027,y:-0.080,z:-0.316
x:0.024,y:-0.059,z:0.002
x:0.024,y:0.214,z:-0.158
x:0.248,y:0.113,z:0.063
x:0.015,y:0.029,z:0.071
x:-0.063,y:0.025,z:-0.151
x:-0.357,y:0.127,z:-0.430
